winner_name,loser_name,ranking_difference,height_difference,age_difference,player1_hand,player2_hand,player1_h2h_win_pct,match_type,player1_recent_win_pct,player2_recent_win_pct,target
Tomas Berdych,Hyung Taik Lee,-36.0,16.0,-9.7,1,1,0.5,1,0.6666666666666666,0.0,13.0
Robert Smeets,Lukas Lacko,167.0,3.0,1.9000000000000021,0,1,0.5,1,0.0,0.5,8.0
Max Mirnyi,Luis Horna,-9.0,16.0,3.1999999999999993,1,1,0.5,1,0.6666666666666666,0.0,-2.0
Dmitry Tursunov,Alexander Waske,-86.0,-3.0,-7.699999999999999,1,1,0.5,1,0.5,0.0,5.0
Arnaud Clement,Xavier Malisse,14.0,-12.0,2.6000000000000014,1,1,0.5,1,0.3333333333333333,1.0,4.0
Fabrice Santoro,Igor Kunitsyn,-33.0,-2.0,8.8,1,1,0.5,1,0.5,0.75,10.0
Gilles Muller,Gaston Gaudio,82.0,18.0,-4.5,0,1,0.5,1,0.0,0.0,11.0
Nikolay Davydenko,Sergio Roitman,-75.0,-7.0,-2.0,1,1,0.5,1,0.6,0.5,10.0
James Blake,Carlos Moya,-36.0,-5.0,-3.3000000000000007,1,1,1.0,1,1.0,0.8,7.0
Alex Kuznetsov,Peter Luczak,52.0,0.0,-7.400000000000002,1,1,0.5,1,0.5,0.6666666666666666,6.0
Mischa Zverev,Michael Berrer,-4.0,-3.0,-7.100000000000001,0,0,0.5,1,0.5,0.5,2.0
Robby Ginepri,Nicolas Almagro,21.0,0.0,2.8000000000000007,1,1,0.5,1,0.5,0.3333333333333333,5.0
Lleyton Hewitt,Michael Russell,-95.0,7.0,-2.8999999999999986,1,1,0.5,1,0.5,0.5,2.0
Frank Dancevic,Victor Hanescu,-671.0,-13.0,-3.099999999999998,1,1,0.5,1,0.3333333333333333,0.5,7.0
Juan Martin del Potro,Alessio Di Mauro,-19.0,13.0,-11.099999999999998,1,0,0.5,1,0.6,0.5,11.0
Fernando Gonzalez,Evgeny Korolev,-78.0,-2.0,7.5,1,1,0.5,1,0.5,0.4,7.0
Andy Murray,Alberto Martin,-44.0,15.0,-8.799999999999997,1,1,0.5,1,0.8,0.3333333333333333,17.0
Fernando Verdasco,Paul Henri Mathieu,-12.0,3.0,-1.8999999999999986,0,1,0.5,1,0.5,0.6,-3.0
Juan Ignacio Chela,Potito Starace,-56.0,2.0,1.8000000000000007,1,1,0.5,1,0.6666666666666666,0.0,5.0
Jarkko Nieminen,Paul Goldstein,-52.0,7.0,-5.0,0,1,0.5,1,0.0,0.6666666666666666,5.0
